region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Trenčiansky kraj,Muži,vek,55+,0.5,0.7,0.7,0.6,0.3,0.7,0.5,0.5,0.5,1.3,2.0,1.9,1.5,1.4,1.6,1.0,0.6,0.3,0.3,1.0,1.3
Trenčiansky kraj,Ženy,vek,55+,1.1,0.3,0.5,0.8,0.7,0.5,0.6,0.4,0.4,0.7,1.0,1.1,1.4,1.6,1.1,1.0,0.7,0.3,0.3,0.2,0.5
Trenčiansky kraj,Muži,vzdelanie,Základné a bez vzdelania,0.3,,0.8,0.2,,0.1,0.6,0.6,0.9,1.5,0.7,1.7,2.0,1.9,0.7,1.0,1.5,0.9,0.7,1.5,1.6
Trenčiansky kraj,Ženy,vzdelanie,Základné a bez vzdelania,1.3,2.1,0.5,0.7,,0.5,0.3,0.1,0.1,0.6,0.8,1.1,1.8,1.4,1.7,1.4,0.9,1.0,0.8,1.8,1.8
Trenčiansky kraj,Muži,vzdelanie,Nižšie stredné,1.9,1.1,2.0,1.8,1.5,1.5,1.7,1.0,2.5,4.7,6.0,7.4,5.8,6.5,8.7,10.6,6.8,3.3,5.8,6.2,6.7
Trenčiansky kraj,Ženy,vzdelanie,Nižšie stredné,0.6,0.5,0.4,1.3,0.7,0.9,1.3,1.7,2.0,1.3,3.0,3.7,4.9,5.6,5.4,4.0,2.9,2.2,3.1,3.8,4.9
Trenčiansky kraj,Muži,vzdelanie,Úplné stredné,1.5,1.3,3.1,2.2,3.0,3.1,1.5,2.5,2.3,2.3,1.9,3.3,3.9,3.8,3.4,4.2,3.3,1.7,1.7,3.7,3.0
Trenčiansky kraj,Ženy,vzdelanie,Úplné stredné,1.9,2.5,2.1,2.8,3.9,3.2,1.5,1.5,2.2,3.8,4.8,4.7,5.1,4.2,4.2,6.5,4.5,3.5,3.7,3.8,4.5
Trenčiansky kraj,Muži,vzdelanie,Vysokoškolské,0.4,0.7,0.2,1.0,0.7,0.9,0.7,0.7,0.6,0.9,1.9,1.6,1.7,1.1,0.9,2.1,1.0,0.6,0.1,0.3,1.0
Trenčiansky kraj,Ženy,vzdelanie,Vysokoškolské,0.6,0.5,0.3,0.1,0.9,1.2,0.9,0.8,1.9,2.5,2.1,2.0,2.4,1.7,0.6,1.1,0.7,0.8,0.9,0.3,0.5
