Pohlavie,Odvetvie,Rok,Hodnota
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2015,"36,0"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2016,"28,4"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2017,"30,1"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2018,"23,4"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2019,"20,7"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2020,"19,7"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2021,"23,2"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2022,"23,5"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2023,"26,9"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2024,"25,5"
Muži,"Nezamestnaní, ktorí ešte nemali zam.",2025,"23,1"
Muži,Nezistené,2008,"23,1"
Muži,Nezistené,2009,"22,0"
Muži,Nezistené,2010,"21,4"
Muži,Nezistené,2011,"25,2"
Muži,Nezistené,2012,"21,6"
Muži,Nezistené,2013,"24,0"
Muži,Nezistené,2014,"25,5"
Muži,Nezistené,2015,"20,4"
Muži,Nezistené,2016,"18,3"
Muži,Nezistené,2017,"14,0"
Muži,Nezistené,2018,"9,7"
Muži,Nezistené,2019,"9,6"
Muži,Nezistené,2020,"7,1"
Muži,Nezistené,2021,"8,0"
Muži,Nezistené,2022,"9,5"
Muži,Nezistené,2023,"9,6"
Muži,Nezistené,2024,"7,4"
Muži,Nezistené,2025,"6,2"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2008,"2,7"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2009,"3,3"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2010,"7,1"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2011,"6,5"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2012,"9,1"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2013,"8,9"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2014,"8,4"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2015,"9,8"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2016,"6,7"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2017,"6,1"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2018,"8,4"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2019,"5,4"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2020,"4,9"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2021,"3,2"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2022,"1,9"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2023,"2,0"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2024,"1,7"
Muži,O Verejná správa a obrana; povinné sociálne zabezpečenie,2025,"4,0"
Muži,P Vzdelávanie,2008,"1,2"
Muži,P Vzdelávanie,2009,"0,6"
Muži,P Vzdelávanie,2010,"0,8"
Muži,P Vzdelávanie,2011,"1,8"
Muži,P Vzdelávanie,2012,"0,9"
Muži,P Vzdelávanie,2013,"1,0"
Muži,P Vzdelávanie,2014,"1,0"
Muži,P Vzdelávanie,2015,"0,6"
Muži,P Vzdelávanie,2016,"1,1"
Muži,P Vzdelávanie,2017,"0,9"
Muži,P Vzdelávanie,2018,"1,1"
Muži,P Vzdelávanie,2019,"0,9"
Muži,P Vzdelávanie,2020,"0,5"
Muži,P Vzdelávanie,2021,"0,9"
Muži,P Vzdelávanie,2022,"1,1"
Muži,P Vzdelávanie,2023,"0,4"
Muži,P Vzdelávanie,2024,"0,2"
Muži,P Vzdelávanie,2025,"2,0"
Muži,Q Zdravotníctvo a sociálna pomoc,2008,"1,7"
Muži,Q Zdravotníctvo a sociálna pomoc,2009,"2,4"
Muži,Q Zdravotníctvo a sociálna pomoc,2010,"2,1"
Muži,Q Zdravotníctvo a sociálna pomoc,2011,"1,0"
Muži,Q Zdravotníctvo a sociálna pomoc,2012,"0,7"
Muži,Q Zdravotníctvo a sociálna pomoc,2013,"1,2"
Muži,Q Zdravotníctvo a sociálna pomoc,2014,"1,4"
Muži,Q Zdravotníctvo a sociálna pomoc,2015,"1,5"
Muži,Q Zdravotníctvo a sociálna pomoc,2016,"2,3"
Muži,Q Zdravotníctvo a sociálna pomoc,2017,"1,5"
Muži,Q Zdravotníctvo a sociálna pomoc,2018,"1,1"
Muži,Q Zdravotníctvo a sociálna pomoc,2019,"0,8"
Muži,Q Zdravotníctvo a sociálna pomoc,2020,"0,7"
Muži,Q Zdravotníctvo a sociálna pomoc,2021,"1,4"
Muži,Q Zdravotníctvo a sociálna pomoc,2022,"1,0"
Muži,Q Zdravotníctvo a sociálna pomoc,2023,"0,2"
Muži,Q Zdravotníctvo a sociálna pomoc,2024,"0,4"
Muži,Q Zdravotníctvo a sociálna pomoc,2025,"0,7"
Muži,"R Umenie, zábava a rekreácia",2008,"0,8"
Muži,"R Umenie, zábava a rekreácia",2009,"0,7"
Muži,"R Umenie, zábava a rekreácia",2010,"1,1"
Muži,"R Umenie, zábava a rekreácia",2011,"1,5"
Muži,"R Umenie, zábava a rekreácia",2012,"1,4"
Muži,"R Umenie, zábava a rekreácia",2013,"1,3"
Muži,"R Umenie, zábava a rekreácia",2014,"1,6"
Muži,"R Umenie, zábava a rekreácia",2015,"1,3"
Muži,"R Umenie, zábava a rekreácia",2016,"1,5"
Muži,"R Umenie, zábava a rekreácia",2017,"0,7"
Muži,"R Umenie, zábava a rekreácia",2018,"0,3"
Muži,"R Umenie, zábava a rekreácia",2019,"0,6"
Muži,"R Umenie, zábava a rekreácia",2020,"1,0"
Muži,"R Umenie, zábava a rekreácia",2021,"0,6"
Muži,"R Umenie, zábava a rekreácia",2022,"0,1"
Muži,"R Umenie, zábava a rekreácia",2023,"0,7"
Muži,"R Umenie, zábava a rekreácia",2024,"0,9"
Muži,"R Umenie, zábava a rekreácia",2025,"0,6"
Muži,S Ostatné činnosti,2008,"0,9"
Muži,S Ostatné činnosti,2009,"0,4"
Muži,S Ostatné činnosti,2010,"0,7"
Muži,S Ostatné činnosti,2011,"0,9"
Muži,S Ostatné činnosti,2012,"0,5"
Muži,S Ostatné činnosti,2013,"1,1"
Muži,S Ostatné činnosti,2014,"1,2"
Muži,S Ostatné činnosti,2015,"0,3"
Muži,S Ostatné činnosti,2016,"0,3"
Muži,S Ostatné činnosti,2017,"0,7"
